Rank,Sex,Total,Probability
50,Male,653,0.45941807044410415
50,Female,415,0.4530120481927711
51,Male,609,0.45320197044334976
51,Female,398,0.4472361809045226
52,Male,660,0.503030303030303
52,Female,397,0.4760705289672544
53,Male,677,0.5007385524372231
53,Female,420,0.5047619047619047
54,Male,637,0.4772370486656201
54,Female,402,0.47512437810945274
55,Male,679,0.5066273932253313
55,Female,399,0.46616541353383456
56,Male,594,0.44612794612794615
56,Female,406,0.4802955665024631
57,Male,665,0.4917293233082707
57,Female,414,0.45410628019323673
58,Male,619,0.4717285945072698
58,Female,439,0.5011389521640092
59,Male,576,0.4565972222222222
59,Female,359,0.4428969359331476
60,Male,656,0.5045731707317073
60,Female,406,0.49261083743842365
61,Male,625,0.4816
61,Female,356,0.49719101123595505
62,Male,588,0.4897959183673469
62,Female,374,0.46524064171123
63,Male,615,0.46178861788617886
63,Female,337,0.4421364985163205
64,Male,592,0.46114864864864863
64,Female,371,0.444743935309973
65,Male,623,0.48314606741573035
65,Female,355,0.4084507042253521
66,Male,612,0.4722222222222222
66,Female,384,0.4635416666666667
67,Male,536,0.458955223880597
67,Female,333,0.4114114114114114
68,Male,579,0.4697754749568221
68,Female,332,0.45481927710843373
69,Male,534,0.46254681647940077
69,Female,333,0.47147147147147145
70,Male,511,0.436399217221135
70,Female,321,0.4423676012461059
71,Male,508,0.44291338582677164
71,Female,346,0.4624277456647399
72,Male,547,0.473491773308958
72,Female,357,0.44537815126050423
73,Male,529,0.43856332703213613
73,Female,349,0.504297994269341
74,Male,511,0.44031311154598823
74,Female,337,0.456973293768546
75,Male,476,0.40336134453781514
75,Female,335,0.42388059701492536
76,Male,477,0.4381551362683438
76,Female,305,0.39672131147540984
77,Male,485,0.44536082474226807
77,Female,335,0.43283582089552236
78,Male,474,0.43670886075949367
78,Female,312,0.40064102564102566
79,Male,484,0.4194214876033058
79,Female,263,0.3612167300380228
80,Male,444,0.4144144144144144
80,Female,305,0.43934426229508194
81,Male,451,0.43902439024390244
81,Female,299,0.431438127090301
82,Male,459,0.4444444444444444
82,Female,297,0.4208754208754209
83,Male,432,0.4074074074074074
83,Female,280,0.4107142857142857
84,Male,478,0.48535564853556484
84,Female,281,0.38434163701067614
85,Male,471,0.4394904458598726
85,Female,330,0.45151515151515154
86,Male,392,0.4336734693877551
86,Female,253,0.3952569169960474
87,Male,431,0.4176334106728538
87,Female,250,0.444
88,Male,418,0.41866028708133973
88,Female,262,0.42366412213740456
89,Male,429,0.4195804195804196
89,Female,241,0.4066390041493776
90,Male,375,0.39466666666666667
90,Female,280,0.40714285714285714
91,Male,372,0.40860215053763443
91,Female,248,0.3548387096774194
92,Male,362,0.4088397790055249
92,Female,289,0.42214532871972316
93,Male,403,0.4094292803970223
93,Female,245,0.3795918367346939
94,Male,348,0.4339080459770115
94,Female,268,0.40298507462686567
95,Male,350,0.4
95,Female,234,0.3504273504273504
96,Male,371,0.4528301886792453
96,Female,223,0.3811659192825112
97,Male,358,0.42178770949720673
97,Female,250,0.4
98,Male,358,0.43854748603351956
98,Female,243,0.448559670781893
99,Male,315,0.4095238095238095
99,Female,207,0.4106280193236715
100,Male,338,0.4408284023668639
100,Female,265,0.4226415094339623
101,Male,329,0.42249240121580545
