Rank,M,W
62,0.4897959183673469,0.46524064171123
63,0.46178861788617886,0.4421364985163205
64,0.46114864864864863,0.444743935309973
65,0.48314606741573035,0.4084507042253521
66,0.4722222222222222,0.4635416666666667
67,0.458955223880597,0.4114114114114114
68,0.4697754749568221,0.45481927710843373
69,0.46254681647940077,0.47147147147147145
70,0.436399217221135,0.4423676012461059
71,0.44291338582677164,0.4624277456647399
72,0.473491773308958,0.44537815126050423
73,0.43856332703213613,0.504297994269341
74,0.44031311154598823,0.456973293768546
75,0.40336134453781514,0.42388059701492536
76,0.4381551362683438,0.39672131147540984
77,0.44536082474226807,0.43283582089552236
78,0.43670886075949367,0.40064102564102566
79,0.4194214876033058,0.3612167300380228
80,0.4144144144144144,0.43934426229508194
81,0.43902439024390244,0.431438127090301
82,0.4444444444444444,0.4208754208754209
83,0.4074074074074074,0.4107142857142857
84,0.48535564853556484,0.38434163701067614
85,0.4394904458598726,0.45151515151515154
86,0.4336734693877551,0.3952569169960474
87,0.4176334106728538,0.444
88,0.41866028708133973,0.42366412213740456
89,0.4195804195804196,0.4066390041493776
90,0.39466666666666667,0.40714285714285714
91,0.40860215053763443,0.3548387096774194
92,0.4088397790055249,0.42214532871972316
93,0.4094292803970223,0.3795918367346939
94,0.4339080459770115,0.40298507462686567
95,0.4,0.3504273504273504
96,0.4528301886792453,0.3811659192825112
97,0.42178770949720673,0.4
98,0.43854748603351956,0.448559670781893
99,0.4095238095238095,0.4106280193236715
100,0.4408284023668639,0.4226415094339623
101,0.42249240121580545,0.3791469194312796
102,0.415041782729805,0.5122950819672131
103,0.4208955223880597,0.3879310344827586
104,0.40441176470588236,0.4190871369294606
105,0.39171974522292996,0.39408866995073893
106,0.3515625,0.40414507772020725
107,0.42560553633217996,0.3979591836734694
108,0.36929460580912865,0.4
109,0.3942652329749104,0.3595505617977528
110,0.40816326530612246,0.3707865168539326
111,0.45901639344262296,0.2795031055900621
112,0.4326530612244898,0.3855421686746988
113,0.4,0.3770491803278688
114,0.4219409282700422,0.41578947368421054
115,0.3548387096774194,0.3670886075949367
116,0.4009433962264151,0.371900826446281
117,0.4307692307692308,0.3724137931034483
118,0.4230769230769231,0.38095238095238093
119,0.3670212765957447,0.35036496350364965
120,0.40425531914893614,0.33043478260869563
121,0.441025641025641,0.43356643356643354
122,0.4152542372881356,0.38095238095238093
123,0.41530054644808745,0.3695652173913043
124,0.418848167539267,0.362962962962963
125,0.3701657458563536,0.35398230088495575
126,0.3930635838150289,0.4083333333333333
127,0.41847826086956524,0.4253731343283582
128,0.4406779661016949,0.3431372549019608
129,0.4585365853658537,0.42718446601941745
130,0.42758620689655175,0.39090909090909093
131,0.391304347826087,0.38095238095238093
132,0.4094488188976378,0.46218487394957986
133,0.42196531791907516,0.42857142857142855
134,0.4014084507042254,0.4496124031007752
135,0.3422818791946309,0.4090909090909091
136,0.3445378151260504,0.391304347826087
137,0.4330708661417323,0.42391304347826086
138,0.37681159420289856,0.36470588235294116
139,0.3669724770642202,0.4224137931034483
140,0.38636363636363635,0.34782608695652173
141,0.3416666666666667,0.4375
142,0.37168141592920356,0.43010752688172044
143,0.42201834862385323,0.3950617283950617
144,0.42063492063492064,0.41379310344827586
145,0.3333333333333333,0.42718446601941745
146,0.32432432432432434,0.3595505617977528
147,0.41284403669724773,0.30864197530864196
148,0.3838383838383838,0.3013698630136986
149,0.3763440860215054,0.38823529411764707
150,0.3853211009174312,0.3950617283950617
151,0.4383561643835616,0.40625
152,0.38372093023255816,0.40476190476190477
153,0.47368421052631576,0.36666666666666664
154,0.3626373626373626,0.41304347826086957
155,0.38461538461538464,0.4647887323943662
156,0.4418604651162791,0.2916666666666667
157,0.38095238095238093,0.36619718309859156
158,0.4166666666666667,0.43617021276595747
159,0.3,0.3230769230769231
160,0.28169014084507044,0.4
161,0.3225806451612903,0.2647058823529412
162,0.43209876543209874,0.43373493975903615
163,0.32894736842105265,0.43902439024390244
