"Surface","WRank","Year"
"Clay",25,2000
"Clay",20,2000
"Clay",8,2000
"Clay",39,2000
"Clay",4,2000
"Clay",13,2000
"Clay",35,2000
"Clay",25,2000
"Clay",39,2000
"Clay",4,2000
"Clay",35,2000
"Clay",25,2000
"Clay",35,2000
"Clay",70,2000
"Clay",77,2000
"Clay",59,2000
"Clay",315,2000
"Clay",3,2000
"Clay",76,2000
"Clay",78,2000
"Clay",28,2000
"Clay",73,2000
"Clay",43,2000
"Clay",13,2000
"Clay",88,2000
"Clay",20,2000
"Clay",64,2000
"Clay",69,2000
"Clay",77,2000
"Clay",59,2000
"Clay",78,2000
"Clay",28,2000
"Clay",73,2000
"Clay",43,2000
"Clay",20,2000
"Clay",69,2000
"Clay",77,2000
"Clay",43,2000
"Clay",20,2000
"Clay",69,2000
"Clay",20,2000
"Clay",69,2000
"Clay",20,2000
"Clay",80,2000
"Clay",136,2000
"Clay",84,2000
"Clay",54,2000
"Clay",16,2000
"Clay",9,2000
"Clay",135,2000
"Clay",61,2000
"Clay",87,2000
"Clay",86,2000
"Clay",36,2000
"Clay",65,2000
"Clay",52,2000
"Clay",114,2000
"Clay",136,2000
"Clay",16,2000
"Clay",9,2000
"Clay",19,2000
"Clay",36,2000
"Clay",65,2000
"Clay",42,2000
"Clay",52,2000
"Clay",9,2000
"Clay",19,2000
"Clay",65,2000
"Clay",52,2000
"Clay",19,2000
"Clay",52,2000
"Clay",52,2000
"Clay",216,2000
"Clay",113,2000
"Clay",79,2000
"Clay",352,2000
"Clay",100,2000
"Clay",125,2000
"Clay",148,2000
"Clay",89,2000
"Clay",72,2000
"Clay",120,2000
"Clay",165,2000
"Clay",205,2000
"Clay",107,2000
"Clay",103,2000
"Clay",74,2000
"Clay",92,2000
"Clay",216,2000
"Clay",352,2000
"Clay",100,2000
"Clay",89,2000
"Clay",72,2000
"Clay",120,2000
"Clay",103,2000
"Clay",92,2000
"Clay",216,2000
"Clay",352,2000
"Clay",89,2000
"Clay",120,2000
"Clay",352,2000
"Clay",89,2000
"Clay",352,2000
"Clay",1,2000
"Clay",29,2000
"Clay",32,2000
"Clay",63,2000
"Clay",11,2000
"Clay",21,2000
"Clay",58,2000
"Clay",16,2000
"Clay",9,2000
"Clay",18,2000
"Clay",46,2000
"Clay",10,2000
"Clay",12,2000
"Clay",17,2000
"Clay",3,2000
"Clay",6,2000
"Clay",8,2000
"Clay",55,2000
"Clay",25,2000
"Clay",36,2000
"Clay",4,2000
"Clay",40,2000
"Clay",83,2000
"Clay",24,2000
"Clay",5,2000
"Clay",38,2000
"Clay",14,2000
"Clay",28,2000
"Clay",37,2000
"Clay",109,2000
"Clay",30,2000
"Clay",45,2000
"Clay",1,2000
"Clay",63,2000
"Clay",11,2000
"Clay",21,2000
"Clay",16,2000
"Clay",9,2000
"Clay",18,2000
"Clay",12,2000
"Clay",17,2000
"Clay",6,2000
"Clay",55,2000
"Clay",25,2000
"Clay",4,2000
"Clay",83,2000
"Clay",38,2000
"Clay",28,2000
"Clay",11,2000
"Clay",21,2000
"Clay",12,2000
"Clay",17,2000
"Clay",55,2000
"Clay",4,2000
"Clay",38,2000
"Clay",11,2000
"Clay",12,2000
"Clay",6,2000
"Clay",4,2000
"Clay",6,2000
"Clay",4,2000
"Clay",65,2000
"Clay",55,2000
"Clay",11,2000
"Clay",54,2000
"Clay",15,2000
"Clay",8,2000
"Clay",52,2000
"Clay",16,2000
"Clay",63,2000
"Clay",72,2000
"Clay",88,2000
"Clay",33,2000
"Clay",12,2000
"Clay",10,2000
"Clay",179,2000
"Clay",7,2000
"Clay",64,2000
"Clay",75,2000
"Clay",23,2000
"Clay",25,2000
"Clay",57,2000
"Clay",4,2000
"Clay",70,2000
"Clay",5,2000
"Clay",30,2000
"Clay",20,2000
"Clay",41,2000
"Clay",14,2000
"Clay",2,2000
"Clay",44,2000
"Clay",78,2000
"Clay",38,2000
"Clay",55,2000
"Clay",11,2000
"Clay",54,2000
"Clay",15,2000
"Clay",52,2000
"Clay",12,2000
"Clay",7,2000
"Clay",25,2000
"Clay",4,2000
"Clay",70,2000
"Clay",5,2000
"Clay",30,2000
"Clay",20,2000
"Clay",41,2000
"Clay",14,2000
"Clay",38,2000
"Clay",55,2000
"Clay",7,2000
"Clay",4,2000
"Clay",70,2000
"Clay",5,2000
"Clay",20,2000
"Clay",14,2000
"Clay",38,2000
"Clay",7,2000
"Clay",70,2000
"Clay",20,2000
"Clay",14,2000
"Clay",7,2000
"Clay",14,2000
"Clay",213,2000
"Clay",67,2000
"Clay",94,2000
"Clay",115,2000
"Clay",52,2000
"Clay",31,2000
"Clay",77,2000
"Clay",21,2000
"Clay",43,2000
"Clay",71,2000
"Clay",93,2000
"Clay",39,2000
"Clay",105,2000
"Clay",64,2000
"Clay",70,2000
"Clay",115,2000
"Clay",52,2000
"Clay",77,2000
"Clay",21,2000
"Clay",43,2000
"Clay",71,2000
"Clay",64,2000
"Clay",52,2000
"Clay",77,2000
"Clay",43,2000
"Clay",71,2000
"Clay",52,2000
"Clay",43,2000
"Clay",43,2000
"Grass",174,2000
"Grass",28,2000
"Grass",21,2000
"Grass",38,2000
"Grass",5,2000
"Grass",13,2000
"Grass",32,2000
"Grass",9,2000
"Grass",49,2000
"Grass",83,2000
"Grass",47,2000
"Grass",51,2000
"Grass",53,2000
"Grass",130,2000
"Grass",23,2000
"Grass",167,2000
"Grass",28,2000
"Grass",21,2000
"Grass",38,2000
"Grass",5,2000
"Grass",13,2000
"Grass",32,2000
"Grass",9,2000
"Grass",130,2000
"Grass",28,2000
"Grass",5,2000
"Grass",32,2000
"Grass",130,2000
"Grass",32,2000
