"Surface","WRank","LRank","Year","Sex"
"Hard",15,19,2000,"M"
"Hard",13,280,2000,"M"
"Hard",49,5,2000,"M"
"Hard",11,23,2000,"M"
"Hard",2,13,2000,"M"
"Hard",15,4,2000,"M"
"Hard",11,2,2000,"M"
"Hard",15,49,2000,"M"
"Hard",15,11,2000,"M"
"Hard",27,60,2000,"M"
"Hard",12,78,2000,"M"
"Hard",66,4,2000,"M"
"Hard",43,26,2000,"M"
"Hard",21,63,2000,"M"
"Hard",61,142,2000,"M"
"Hard",3,36,2000,"M"
"Hard",33,39,2000,"M"
"Hard",10,50,2000,"M"
"Hard",72,69,2000,"M"
"Hard",15,54,2000,"M"
"Hard",34,37,2000,"M"
"Hard",163,53,2000,"M"
"Hard",77,68,2000,"M"
"Hard",44,41,2000,"M"
"Hard",32,11,2000,"M"
"Hard",12,33,2000,"M"
"Hard",66,61,2000,"M"
"Hard",3,44,2000,"M"
"Hard",10,77,2000,"M"
"Hard",72,21,2000,"M"
"Hard",15,43,2000,"M"
"Hard",34,27,2000,"M"
"Hard",32,163,2000,"M"
"Hard",12,10,2000,"M"
"Hard",3,34,2000,"M"
"Hard",72,66,2000,"M"
"Hard",15,32,2000,"M"
"Hard",3,15,2000,"M"
"Hard",72,12,2000,"M"
"Hard",72,3,2000,"M"
"Clay",91,87,2000,"M"
"Clay",129,56,2000,"M"
"Clay",70,90,2000,"M"
"Clay",65,42,2000,"M"
"Clay",67,95,2000,"M"
"Clay",103,71,2000,"M"
"Clay",243,101,2000,"M"
"Clay",38,85,2000,"M"
"Clay",6,131,2000,"M"
"Clay",9,158,2000,"M"
"Clay",29,377,2000,"M"
"Clay",128,45,2000,"M"
"Clay",57,143,2000,"M"
"Clay",46,75,2000,"M"
"Clay",107,55,2000,"M"
"Clay",74,29,2000,"M"
"Clay",129,6,2000,"M"
"Clay",65,243,2000,"M"
"Clay",103,107,2000,"M"
"Clay",38,70,2000,"M"
"Clay",9,57,2000,"M"
"Clay",128,67,2000,"M"
"Clay",46,91,2000,"M"
"Clay",129,103,2000,"M"
"Clay",38,65,2000,"M"
"Clay",128,74,2000,"M"
"Clay",46,9,2000,"M"
"Clay",129,38,2000,"M"
"Clay",128,46,2000,"M"
"Clay",129,128,2000,"M"
"Hard",79,68,2000,"M"
"Hard",106,45,2000,"M"
"Hard",69,105,2000,"M"
"Hard",91,464,2000,"M"
"Hard",58,234,2000,"M"
"Hard",226,142,2000,"M"
"Hard",65,93,2000,"M"
"Hard",121,148,2000,"M"
"Hard",125,78,2000,"M"
"Hard",48,110,2000,"M"
"Hard",197,50,2000,"M"
"Hard",72,168,2000,"M"
"Hard",83,98,2000,"M"
"Hard",38,130,2000,"M"
"Hard",54,108,2000,"M"
"Hard",80,82,2000,"M"
"Hard",69,226,2000,"M"
"Hard",91,79,2000,"M"
"Hard",58,121,2000,"M"
"Hard",48,106,2000,"M"
"Hard",72,65,2000,"M"
"Hard",83,197,2000,"M"
"Hard",38,125,2000,"M"
"Hard",80,54,2000,"M"
"Hard",58,83,2000,"M"
"Hard",48,72,2000,"M"
"Hard",38,69,2000,"M"
"Hard",80,91,2000,"M"
"Hard",48,58,2000,"M"
"Hard",80,38,2000,"M"
"Hard",80,48,2000,"M"
"Hard",429,89,2000,"M"
"Hard",178,26,2000,"M"
"Hard",42,126,2000,"M"
"Hard",71,352,2000,"M"
"Hard",96,25,2000,"M"
"Hard",97,66,2000,"M"
"Hard",81,99,2000,"M"
"Hard",76,41,2000,"M"
"Hard",33,59,2000,"M"
"Hard",140,90,2000,"M"
"Hard",129,62,2000,"M"
"Hard",17,67,2000,"M"
"Hard",100,167,2000,"M"
